tc_id,quiz_name,timeopen_day,timeopen_month,timeopen_year,timeopen_hour,timeopen_minute,timeclose_day,timeclose_month,timeclose_year,timeclose_hour,timeclose_minute,timelimit,gradepass,expected_output,expected_result
TC-001-011,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,,,,,,failed,Maximum of 1333 characters
TC-001-012,Quiz Time,,,,,,,,,,,-1,,failed,This duration cannot be negative
TC-001-013,Quiz Time,,,,,,,,,,,0,,passed,Quiz Time
TC-001-014,Quiz Time,,,,,,,,,,,1,,passed,Quiz Time
TC-001-015,Quiz Time,,,,,,,,,,,60,,passed,Quiz Time
TC-001-016,Quiz Time,,,,,,,,,,,9999999999,,passed,Quiz Time
TC-001-017,Quiz Time,17,June,2027,10,00,17,June,2027,09,00,,,failed,The close date must be after the open date
TC-001-018,Quiz Time,17,June,2027,10,00,17,June,2027,10,00,,,passed,Quiz Time
TC-001-019,Quiz Time,17,June,2027,10,00,17,June,2027,10,01,,,passed,Quiz Time
TC-001-020,Quiz Time,17,June,2027,10,00,17,June,2027,11,00,,,passed,Quiz Time
TC-001-021,Quiz Grade,,,,,,,,,,,,-1,failed,validation error
TC-001-022,Quiz Grade,,,,,,,,,,,,0,passed,Quiz Grade
TC-001-023,Quiz Grade,,,,,,,,,,,,1,passed,Quiz Grade
TC-001-024,Quiz Grade,,,,,,,,,,,,5,passed,Quiz Grade
TC-001-025,Quiz Grade,,,,,,,,,,,,9,passed,Quiz Grade
TC-001-026,Quiz Grade,,,,,,,,,,,,10,passed,Quiz Grade
TC-001-027,Quiz Grade,,,,,,,,,,,,11,failed,greater than the maximum possible grade
TC-001-028,Quiz 1,,,,,,,,,,,60,5,passed,Quiz 1
TC-001-029,Quiz 1,,,,,,,,,,,1.5,5,passed,Quiz 1
TC-001-030,   ,,,,,,,,,,,60,5,failed,You must supply a value here
TC-001-031,Quiz 1,,,,,,,,,,,ten,5,failed,You must enter a number here
TC-001-032,Quiz 1,,,,,,,,,,,@#$,5,failed,You must enter a number here
TC-001-033,Quiz 1,,,,,,,,,,,60,A,failed,You must enter a number here
TC-001-034,,17,June,2027,10,00,18,June,2027,10,00,15,5,failed,You must supply a value here
TC-001-035,Quiz 1,17,June,2027,10,00,17,June,2027,09,00,,,failed,The close date must be after the open date
TC-001-036,Quiz 1,17,June,2027,10,00,18,June,2027,10,00,-1,,failed,This duration cannot be negative
TC-001-037,Quiz 1,17,June,2027,10,00,18,June,2027,10,00,60,,passed,Quiz 1
